date,cell,cell_series,voltage_mV,n_reference_sweeps,n_ro25_sweeps,reference_sweep_values_pA,ro25_sweep_values_pA,reference_median_pA,ro25_median_pA,delta_signed_pA,magnitude_ratio,signed_separation_class,signed_separation_gap_pA,magnitude_separation_class,magnitude_separation_gap_pA,raw_voltage_class,reference_baseline_sigma_pA,reference_plateau_snr,reference_signal_ok,signal_qualified_class
2022-10-12,cell1,2022-10-12_cell1,-40,3,3,-107.610941;-104.9909;-108.577907,-199.064746;-203.525152;-205.552593,-107.61094093322754,-203.5251520574093,-95.91421112418176,1.8913053848650607,potentiating,90.48683941364288,potentiating,90.48683941364288,potentiating,2.2660679697990416,47.487958158100014,True,potentiating
2022-10-12,cell2,2022-10-12_cell2,-40,3,3,-107.610941;-104.9909;-108.577907,-58.7650537;-65.1280284;-46.9433069,-107.61094093322754,-58.76505374908447,48.845887184143066,0.5460880951273172,suppressing,39.862871170043945,suppressing,39.862871170043945,suppressing,2.2660679697990416,47.487958158100014,True,suppressing
2022-10-12,cell3,2022-10-12_cell3,-40,3,3,-107.610941;-104.9909;-108.577907,-49.5322943;-54.6163917;-73.6745,-107.61094093322754,-54.61639165878296,52.99454927444458,0.507535676067291,suppressing,31.316399574279785,suppressing,31.316399574279785,suppressing,2.2660679697990416,47.487958158100014,True,suppressing
2022-10-17,cell1,2022-10-17_cell1,-40,3,3,-38.6464;-45.6644893;-50.1248837,-65.3463751;-77.386342;-86.0888064,-45.66448926925659,-77.38634198904037,-31.721852719783783,1.6946722327876855,potentiating,15.2214914560318,potentiating,15.2214914560318,potentiating,2.034804081916809,22.441713025383805,True,potentiating
2022-10-17,cell2,2022-10-17_cell2,-40,3,3,-38.6464;-45.6644893;-50.1248837,-74.5791048;-76.1698782;-74.7038871,-45.66448926925659,-74.7038871049881,-29.039397835731503,1.6359295439505144,potentiating,24.45422112941742,potentiating,24.45422112941742,potentiating,2.034804081916809,22.441713025383805,True,potentiating
2022-11-18,cell1,2022-11-18_cell1,-40,3,3,-33.5309505;-37.1179581;-30.1778316,-27.0586014;-29.32024;-22.2239494,-33.53095054626465,-27.05860137939453,6.472349166870117,0.8069738834889326,suppressing,0.8575916290283203,suppressing,0.8575916290283203,suppressing,3.3527519702911377,10.00102329172682,True,suppressing
2022-11-18,cell2,2022-11-18_cell2,-40,3,3,-33.5309505;-37.1179581;-30.1778316,-138.740242;-136.556774;-132.470697,-33.53095054626465,-136.55677437782288,-103.02582383155824,4.072558998570809,potentiating,95.35273909568788,potentiating,95.35273909568788,potentiating,3.3527519702911377,10.00102329172682,True,potentiating
2022-11-18,cell3,2022-11-18_cell3,-40,3,3,-33.5309505;-37.1179581;-30.1778316,-55.989027;-62.9291534;-72.0524788,-33.53095054626465,-62.92915344238281,-29.398202896118164,1.876748270394414,potentiating,18.871068954467773,potentiating,18.871068954467773,potentiating,3.3527519702911377,10.00102329172682,True,potentiating
2022-12-22,cell1,2022-12-22_cell1,-40,3,3,-41.9839025;-49.5946407;-43.7306166,-24.0799189;-23.4560668;-18.4030235,-43.73061656951904,-23.45606684684753,20.27454972267151,0.5363763122241637,suppressing,17.90398359298706,suppressing,17.90398359298706,suppressing,1.5722983986139296,27.813178852099615,True,suppressing
2022-12-22,cell2,2022-12-22_cell2,-40,3,3,-41.9839025;-49.5946407;-43.7306166,-24.5165825;-26.6376138;-22.0212638,-43.73061656951904,-24.516582489013672,19.21403408050537,0.5606274142062322,suppressing,15.346288681030272,suppressing,15.346288681030272,suppressing,1.5722983986139296,27.813178852099615,True,suppressing
2022-12-23,cell_unknown,2022-12-23_cell_unknown,-40,3,3,-65.9704208;-72.2868443;-89.6759033,-69.8690414;-76.5752792;-72.5982189,-72.28684425354004,-72.59821891784668,-0.3113746643066406,1.0043074873100633,unresolved,-6.70623779296875,unresolved,-6.70623779296875,unresolved,2.5436376571655277,28.41868772067639,True,unresolved
