calibration_top_percent,n_included,score_cutoff,strong_n,strong_fraction,braess_direction_n,braess_direction_fraction,r_max_median,r_max_95pct,r_max_max
1.0,500,0.2706971795715861,0,0.0,49,0.098,0.8118095099925995,1.0389999628067015,1.452576756477356
2.0,1000,0.3145203319220329,0,0.0,111,0.111,0.8611295223236084,1.0388318181037903,1.5820856094360352
5.0,2500,0.4217106169854922,1,0.0004,461,0.1844,0.9340633451938629,1.0521840453147888,1.8745825290679927
10.0,5000,0.5802103692943137,1,0.0002,1562,0.3124,0.9731622934341431,1.0498036861419677,1.8745825290679927
20.0,10000,0.9440237749944156,1,0.0001,4237,0.4237,0.993055135011673,1.0506749868392944,1.8745825290679927
30.0,15000,1.4028173471425125,1,6.666666666666667e-05,6936,0.4624,0.9974669516086578,1.0582460820674897,1.8745825290679927
40.0,20000,1.9041405474759432,5,0.00025,9521,0.47605,0.9987768828868866,1.0667265772819519,2.4335319995880127
50.0,25000,2.449333615574505,10,0.0004,11955,0.4782,0.9990755617618561,1.073333555459976,2.4335319995880127
75.0,37500,6.879255995162805,181,0.004826666666666667,18720,0.4992,0.9999954104423524,1.1518098056316375,6.678470611572266
100.0,50000,2529.3928555748003,1261,0.02522,26995,0.5399,1.0010437965393066,1.3480661034584036,14.090414047241213
