cell_id,date,voltage_mV,control_relation,control_plateau_level_nA,ro25_plateau_level_nA,delta_plateau_level_nA,ratio_plateau_magnitude,control_qc_flags,ro25_qc_flags
2022-10-12_cell1,2022-10-12,-80,same_day_reference,-0.1104182004928588,-0.2220217511057853,-0.1116035506129264,2.0107350972464384,none,none
2022-10-12_cell1,2022-10-12,-70,same_day_reference,-0.113911747932434,-0.2264509797096252,-0.1125392317771911,1.9879510570230472,none,none
2022-10-12_cell1,2022-10-12,-60,same_day_reference,-0.1084219217300415,-0.2151284106075763,-0.1067064888775348,1.984178173333084,none,none
2022-10-12_cell1,2022-10-12,-40,same_day_reference,-0.1076109409332275,-0.2035251520574093,-0.0959142111241817,1.8913053848650607,none,none
2022-10-12_cell1,2022-10-12,-20,same_day_reference,-0.1074861884117126,-0.1962263435125351,-0.0887401551008224,1.8255958873610272,none,plateau_drift_within_train
2022-10-12_cell2,2022-10-12,-80,same_day_reference,-0.1104182004928588,-0.078166127204895,0.0322520732879638,0.7079098088539333,none,none
2022-10-12_cell2,2022-10-12,-70,same_day_reference,-0.113911747932434,-0.0654400587081909,0.0484716892242431,0.5744803314492744,none,none
2022-10-12_cell2,2022-10-12,-60,same_day_reference,-0.1084219217300415,-0.0909858345985412,0.0174360871315002,0.8391830097338234,none,none
2022-10-12_cell2,2022-10-12,-40,same_day_reference,-0.1076109409332275,-0.0587650537490844,0.048845887184143,0.5460880951273172,none,none
2022-10-12_cell2,2022-10-12,-20,same_day_reference,-0.1074861884117126,-0.0801936388015747,0.0272925496101379,0.7460831943765912,none,none
2022-10-12_cell3,2022-10-12,-80,same_day_reference,-0.1104182004928588,-0.078166127204895,0.0322520732879638,0.7079098088539333,none,none
2022-10-12_cell3,2022-10-12,-70,same_day_reference,-0.113911747932434,-0.0716159343719482,0.0422958135604858,0.6286966504493172,none,none
2022-10-12_cell3,2022-10-12,-60,same_day_reference,-0.1084219217300415,-0.0503744482994079,0.0580474734306335,0.4646149735736535,none,none
2022-10-12_cell3,2022-10-12,-40,same_day_reference,-0.1076109409332275,-0.0546163916587829,0.0529945492744445,0.507535676067291,none,none
2022-10-12_cell3,2022-10-12,-20,same_day_reference,-0.1074861884117126,-0.0541797876358032,0.0533064007759094,0.5040627864509829,none,none
2022-10-17_cell1,2022-10-17,-80,same_day_reference,-0.0648472905158996,-0.0785716474056243,-0.0137243568897247,1.2116411769950466,none,none
2022-10-17_cell1,2022-10-17,-70,same_day_reference,-0.0555834174156188,-0.0510295033454895,0.0045539140701293,0.9180706354185098,none,none
2022-10-17_cell1,2022-10-17,-60,same_day_reference,-0.050748735666275,-0.0564567744731903,-0.0057080388069152,1.1124764731963273,none,none
2022-10-17_cell1,2022-10-17,-40,same_day_reference,-0.0456644892692565,-0.0773863419890403,-0.0317218527197837,1.6946722327876855,none,none
2022-10-17_cell1,2022-10-17,-20,same_day_reference,-0.0447599291801452,-0.0960701070725917,-0.0513101778924465,2.146341802417481,none,none
2022-10-17_cell2,2022-10-17,-80,same_day_reference,-0.0648472905158996,-0.1008112430572509,-0.0359639525413513,1.5545945290117165,none,none
2022-10-17_cell2,2022-10-17,-70,same_day_reference,-0.0555834174156188,-0.0956957936286926,-0.0401123762130737,1.721660849190647,none,none
2022-10-17_cell2,2022-10-17,-60,same_day_reference,-0.050748735666275,-0.0807550400495529,-0.0300063043832778,1.5912719595735372,none,none
2022-10-17_cell2,2022-10-17,-40,same_day_reference,-0.0456644892692565,-0.0747038871049881,-0.0290393978357315,1.6359295439505144,none,none
2022-10-17_cell2,2022-10-17,-20,same_day_reference,-0.0447599291801452,-0.0649408996105194,-0.0201809704303741,1.450871366421332,none,none
2022-11-18_cell1,2022-11-18,-80,same_day_reference,-0.0487368106842041,-0.0442919731140136,0.0044448375701904,0.9087991703234076,none,none
2022-11-18_cell1,2022-11-18,-70,same_day_reference,-0.0431224107742309,-0.0375857353210449,0.005536675453186,0.8716056140234479,none,none
2022-11-18_cell1,2022-11-18,-60,same_day_reference,-0.0383656024932861,-0.0227699279785156,0.0155956745147705,0.5934985116550768,none,unstable_interpulse_level
2022-11-18_cell1,2022-11-18,-40,same_day_reference,-0.0335309505462646,-0.0270586013793945,0.0064723491668701,0.8069738834889326,none,unstable_interpulse_level
2022-11-18_cell1,2022-11-18,-20,same_day_reference,-0.0314254760742187,-0.032595157623291,-0.0011696815490722,1.037220806020879,none,unstable_interpulse_level
2022-11-18_cell2,2022-11-18,-80,same_day_reference,-0.0487368106842041,-0.1427327394485473,-0.0939959287643432,2.9286434102838803,none,none
2022-11-18_cell2,2022-11-18,-70,same_day_reference,-0.0431224107742309,-0.1414850354194641,-0.0983626246452331,3.2810094073871348,none,none
2022-11-18_cell2,2022-11-18,-60,same_day_reference,-0.0383656024932861,-0.1384907066822052,-0.100125104188919,3.6097623308910807,none,none
2022-11-18_cell2,2022-11-18,-40,same_day_reference,-0.0335309505462646,-0.1365567743778228,-0.1030258238315582,4.072558998570809,none,none
2022-11-18_cell2,2022-11-18,-20,same_day_reference,-0.0314254760742187,-0.1367751061916351,-0.1053496301174163,4.352363855001214,none,none
2022-11-18_cell3,2022-11-18,-80,same_day_reference,-0.0487368106842041,-0.0934188365936279,-0.0446820259094238,1.9168024185855383,none,none
2022-11-18_cell3,2022-11-18,-70,same_day_reference,-0.0431224107742309,-0.0609796047210693,-0.0178571939468383,1.4141047224917551,none,none
2022-11-18_cell3,2022-11-18,-60,same_day_reference,-0.0383656024932861,-0.0524017810821533,-0.0140361785888671,1.3658532038255746,none,none
2022-11-18_cell3,2022-11-18,-40,same_day_reference,-0.0335309505462646,-0.0629291534423828,-0.0293982028961181,1.876748270394414,none,none
2022-11-18_cell3,2022-11-18,-20,same_day_reference,-0.0314254760742187,-0.0885841846466064,-0.0571587085723876,2.8188653192522457,none,none
2022-12-22_cell1,2022-12-22,-80,same_day_reference,-0.0485341101884841,-0.0332190543413162,0.0153150558471679,0.6844475815526168,none,none
