cell_id,date,control_relation,control_plateau_level_nA,ro25_plateau_level_nA,delta_plateau_level_nA,control_plateau_magnitude_nA,ro25_plateau_magnitude_nA,r_plateau,ratio_valid,plateau_class_frozen,braess_direction_observed,control_qc_flags,ro25_qc_flags
2022-10-12_cell1,2022-10-12,same_day_reference,-0.1076109409332275,-0.2035251520574093,-0.0959142111241817,0.1076109409332275,0.2035251520574093,1.8913053848650607,True,plateau_potentiating,True,none,none
2022-10-12_cell2,2022-10-12,same_day_reference,-0.1076109409332275,-0.0587650537490844,0.048845887184143,0.1076109409332275,0.0587650537490844,0.5460880951273172,True,plateau_suppressing,False,none,none
2022-10-12_cell3,2022-10-12,same_day_reference,-0.1076109409332275,-0.0546163916587829,0.0529945492744445,0.1076109409332275,0.0546163916587829,0.507535676067291,True,plateau_suppressing,False,none,none
2022-10-17_cell1,2022-10-17,same_day_reference,-0.0456644892692565,-0.0773863419890403,-0.0317218527197837,0.0456644892692565,0.0773863419890403,1.6946722327876855,True,plateau_potentiating,True,none,none
2022-10-17_cell2,2022-10-17,same_day_reference,-0.0456644892692565,-0.0747038871049881,-0.0290393978357315,0.0456644892692565,0.0747038871049881,1.6359295439505144,True,plateau_potentiating,True,none,none
2022-11-18_cell1,2022-11-18,same_day_reference,-0.0335309505462646,-0.0270586013793945,0.0064723491668701,0.0335309505462646,0.0270586013793945,0.8069738834889326,True,plateau_suppressing,False,none,unstable_interpulse_level
2022-11-18_cell2,2022-11-18,same_day_reference,-0.0335309505462646,-0.1365567743778228,-0.1030258238315582,0.0335309505462646,0.1365567743778228,4.072558998570809,True,plateau_potentiating,True,none,none
2022-11-18_cell3,2022-11-18,same_day_reference,-0.0335309505462646,-0.0629291534423828,-0.0293982028961181,0.0335309505462646,0.0629291534423828,1.876748270394414,True,plateau_potentiating,True,none,none
2022-12-22_cell1,2022-12-22,same_day_reference,-0.043730616569519,-0.0234560668468475,0.0202745497226715,0.043730616569519,0.0234560668468475,0.5363763122241637,True,plateau_suppressing,False,none,none
2022-12-22_cell2,2022-12-22,same_day_reference,-0.043730616569519,-0.0245165824890136,0.0192140340805053,0.043730616569519,0.0245165824890136,0.5606274142062322,True,plateau_suppressing,False,none,none
2022-12-23_cell_unknown,2022-12-23,same_day_reference,-0.07228684425354,-0.0725982189178466,-0.0003113746643066,0.07228684425354,0.0725982189178466,1.0043074873100633,True,plateau_neutral,True,none,none
