prior,condition_id,G_peak,tau_G_ms,braess_fraction,braess_r_median,braess_r_q90,braess_r_max,fraction_reaches_experimental_min
broad,G100_T030,0.1,3.0,0.0006,1.0121538498209286,1.0143609703968886,1.0149127505408786,0.0
broad,G100_T050,0.1,5.0,0.0028,1.0082158533253884,1.0182464587700242,1.0358094208522115,0.0
broad,G100_T075,0.1,7.5,0.0048,1.0069008019345902,1.0224906799047293,1.0455496247180591,0.0
broad,G100_T100,0.1,10.0,0.0058,1.0071681940648347,1.021671336910606,1.049113376428603,0.0
broad,G100_T150,0.1,15.0,0.005,1.0070457783311757,1.0207285033328712,1.0495584416530428,0.0
broad,G100_T200,0.1,20.0,0.003,1.011132123609504,1.019994254597973,1.0467208228511795,0.0
broad,G100_T300,0.1,30.0,0.0016,1.005483235347426,1.021646936453772,1.0390854147541588,0.0
broad,G100_T400,0.1,40.0,0.001,1.010566117034348,1.0237634588595452,1.032209253379408,0.0
broad,G150_T030,0.15,3.0,0.0082,1.0109372314618308,1.0331474273806938,1.0627983319439585,0.0
broad,G150_T050,0.15,5.0,0.0142,1.0129910463962477,1.0443500550339595,1.1450128786470215,0.0
broad,G150_T075,0.15,7.5,0.0166,1.0137177809630118,1.0567273258592813,1.1705942694382814,0.0
broad,G150_T100,0.15,10.0,0.0172,1.014006486609785,1.0601488727890331,1.171520469591363,0.0
broad,G150_T150,0.15,15.0,0.0162,1.01266684102678,1.0609006569025643,1.15226815913107,0.0
broad,G150_T200,0.15,20.0,0.0146,1.0126061986167718,1.0505316442393888,1.1254186926470453,0.0
broad,G150_T300,0.15,30.0,0.0116,1.0092430918926651,1.041100901875729,1.089481007558261,0.0
broad,G150_T400,0.15,40.0,0.0096,1.0084252077703957,1.0296432998619791,1.0655782728927583,0.0
broad,G200_T030,0.2,3.0,0.0166,1.014296780141221,1.060079311271231,1.192549321484192,0.0
broad,G200_T050,0.2,5.0,0.0264,1.0130519231541153,1.0596853239553852,1.2513902963652388,0.0
broad,G200_T075,0.2,7.5,0.0326,1.0127936438951364,1.0649774292719605,1.263661384881393,0.0
broad,G200_T100,0.2,10.0,0.0342,1.0118228108535938,1.0585610397589702,1.2599367928591334,0.0
broad,G200_T150,0.2,15.0,0.0326,1.0114563777337982,1.0613716496716294,1.2412127968095763,0.0
broad,G200_T200,0.2,20.0,0.0294,1.0102356231687573,1.0592333021318503,1.2191887418418192,0.0
broad,G200_T300,0.2,30.0,0.022,1.0109142429737386,1.04779996734451,1.1763243482156724,0.0
broad,G200_T400,0.2,40.0,0.017,1.0107535895444355,1.0603432719583838,1.1510172329196893,0.0
broad,G250_T030,0.25,3.0,0.0302,1.0132555601468092,1.059446405684237,1.2723499305015833,0.0
broad,G250_T050,0.25,5.0,0.0442,1.0113465087064415,1.053408942870271,1.3051072280708698,0.0
broad,G250_T075,0.25,7.5,0.0526,1.0112077154439831,1.0562968742399526,1.305553889475256,0.0
broad,G250_T100,0.25,10.0,0.0532,1.0113755175716994,1.0565226849127185,1.2985483821457502,0.0
broad,G250_T150,0.25,15.0,0.0512,1.010032936391999,1.0525704424716706,1.2817856539634738,0.0
broad,G250_T200,0.25,20.0,0.0474,1.009341476776088,1.0491477823154924,1.2652824405355636,0.0
broad,G250_T300,0.25,30.0,0.036,1.0110358847170438,1.0435998925027394,1.2343322813198498,0.0
broad,G250_T400,0.25,40.0,0.0312,1.0094361735193018,1.0569261100497886,1.206898082753548,0.0
broad,G300_T030,0.3,3.0,0.0448,1.012038838426684,1.054553038057094,1.3160576559857844,0.0
broad,G300_T050,0.3,5.0,0.0608,1.0130557709327164,1.0584260976534705,1.3255557809838494,0.0
broad,G300_T075,0.3,7.5,0.0688,1.012167269235352,1.059633994372334,1.3172526356451133,0.0
broad,G300_T100,0.3,10.0,0.0704,1.0124887261495723,1.0593754734399252,1.3084081559294258,0.0
broad,G300_T150,0.3,15.0,0.0696,1.0112709562640805,1.055840779649084,1.3030775959684195,0.0
broad,G300_T200,0.3,20.0,0.0624,1.0112823571064602,1.0587311067986909,1.2882029808866973,0.0
broad,G300_T300,0.3,30.0,0.0534,1.0100250266562725,1.0545642343994557,1.2624560637626216,0.0
broad,G300_T400,0.3,40.0,0.046,1.008280273121152,1.047018830737285,1.244066422561193,0.0
broad,G400_T030,0.4,3.0,0.0766,1.013375723853463,1.0632893743921492,1.336179719942857,0.0
broad,G400_T050,0.4,5.0,0.098,1.0121238412895224,1.0680182174197643,1.3849155823797832,0.0
broad,G400_T075,0.4,7.5,0.1056,1.013326374149096,1.068868223245742,1.404139109028742,0.0
broad,G400_T100,0.4,10.0,0.1092,1.012262333843604,1.068074704659128,1.4085225525769347,0.0
broad,G400_T150,0.4,15.0,0.1058,1.0120973671341205,1.0672757043654262,1.4050761864418864,0.0
broad,G400_T200,0.4,20.0,0.099,1.0110779436159862,1.0638540211979486,1.3959617455246776,0.0
broad,G400_T300,0.4,30.0,0.0882,1.0106403359290737,1.058077097963637,1.37265687180358,0.0
broad,G400_T400,0.4,40.0,0.0772,1.009923661779612,1.0592334913470844,1.349033230289088,0.0
broad,G500_T030,0.5,3.0,0.111,1.0134438941232466,1.070206573507755,1.4140280077708247,0.0
broad,G500_T050,0.5,5.0,0.132,1.0127285226429257,1.0755834962369386,1.4393712090155468,0.0
broad,G500_T075,0.5,7.5,0.1404,1.0131426246478732,1.0784529554874205,1.4430566786466947,0.0
broad,G500_T100,0.5,10.0,0.1408,1.0128424356253456,1.0778997162753254,1.4425305380185685,0.0
