prior,condition_id,G_peak,tau_G_ms,b_timescale_scale,n,braess_fraction,r_median,braess_r_median,r_max,empirical_span_fraction,median_nearest_log_target_distance,target_q10_log_distance_mean,target_q10_log_distance_max
broad,G650_T150_S0010,0.65,15.0,0.01,5000,0.9896,1.355073272556973,1.3646813595839866,135.68207694683858,0.2384,0.3115435919081566,0.1542390503962492,0.3546743402466191
broad,G650_T150_S0020,0.65,15.0,0.02,5000,0.9478,1.267718402452208,1.3080059985591266,100.90936761069987,0.217,0.3165448024782035,0.1663732211601737,0.387651887776311
broad,G650_T150_S0030,0.65,15.0,0.03,5000,0.9,1.2060466118453543,1.2648529160071234,73.93981769609577,0.1944,0.3222105595267094,0.1757117377408507,0.4011130918337826
broad,G650_T150_S0040,0.65,15.0,0.04,5000,0.8498,1.1620267607798336,1.238407340502096,54.86195798661279,0.1794,0.3281828125223307,0.1791402549202855,0.4097146909841966
broad,G650_T150_S0050,0.65,15.0,0.05,5000,0.8064,1.1273041791229177,1.2196079868086942,41.91437903767589,0.1658,0.3335071549735102,0.1896573478644661,0.4306583379294103
broad,G650_T150_S0075,0.65,15.0,0.075,5000,0.7142,1.0681472061533035,1.189260578716032,24.30458103858364,0.1406,0.3430383661465196,0.2040160898855134,0.5033674992829246
broad,G650_T150_S0100,0.65,15.0,0.1,5000,0.6416,1.0374945287458377,1.167436567562974,16.185623203690707,0.1224,0.3506283030328173,0.2178789460054474,0.5799997840021451
broad,G650_T150_S0200,0.65,15.0,0.2,5000,0.471,0.9950647958713624,1.113696518060928,6.831650367715124,0.0542,0.3850966880840958,0.2984109826541362,0.8381334856118623
broad,G650_T150_S0500,0.65,15.0,0.5,5000,0.2696,0.9445070244644088,1.047416235541373,2.707913799148401,0.0062,0.4458847791821279,0.500693427206558,1.1653552744066518
broad,G650_T150_S1000,0.65,15.0,1.0,5000,0.1856,0.91559007543101,1.0110170045030469,1.5252995093908637,0.0,0.4812544118264324,0.6613901660122913,1.327505719432459
reference,G200_T400_S0010,0.2,40.0,0.01,5000,0.9652,1.190339054585226,1.1966905769544591,2.955826890096078,0.0464,0.3126991598269654,0.3419647486599478,0.999352905935333
reference,G200_T400_S0020,0.2,40.0,0.02,5000,0.7214,1.0643582388184951,1.102837928818511,2.245202779310799,0.0042,0.3943243784344172,0.4806100105407623,1.1466690978034149
reference,G200_T400_S0030,0.2,40.0,0.03,5000,0.427,0.9789736136452956,1.0655176643134805,1.7621185187056905,0.0004,0.4287504203626125,0.5563537677033985,1.2224693211235662
reference,G200_T400_S0040,0.2,40.0,0.04,5000,0.2284,0.9121865375650876,1.043477706354686,1.5373903477855062,0.0,0.4496520907104274,0.597860182286102,1.2639757357062698
reference,G200_T400_S0050,0.2,40.0,0.05,5000,0.1094,0.863178927325897,1.0368561202097415,1.3939832173758264,0.0,0.4560179977685615,0.6233321999516812,1.289447753371849
reference,G200_T400_S0075,0.2,40.0,0.075,5000,0.0188,0.790909172480439,1.0213147516754415,1.1730987517016758,0.0,0.4711215491980126,0.6681113565877619,1.3342269100079296
reference,G200_T400_S0100,0.2,40.0,0.1,5000,0.003,0.7536579003612945,1.0080806276548018,1.0633978281391134,0.0,0.484163017005162,0.6917976029793655,1.3579131563995332
reference,G200_T400_S0200,0.2,40.0,0.2,5000,0.0,0.7143696646818811,,0.9913079980251056,0.0,inf,inf,inf
reference,G200_T400_S0500,0.2,40.0,0.5,5000,0.0,0.7420943188236204,,0.9969183750252488,0.0,inf,inf,inf
reference,G200_T400_S1000,0.2,40.0,1.0,5000,0.0306,0.7807910248715195,1.0052939653209076,1.1004649202228844,0.0,0.4869311696609623,0.6880416544356696,1.3541572078558373
