model,prior,condition_id,n,requested_dt_ms,fine_requested_dt_ms,r_plateau_abs_error_max,r_plateau_abs_error_q95,direction_agreement,coarse_effective_dt_ms,fine_effective_dt_ms,b_timescale_scale
bslow,broad,G650_T150_S0010,20,0.1,0.05,0.0011767830208491148,0.0002966314991359471,1.0,0.1,0.05,0.01
bslow,broad,G650_T150_S0030,20,0.1,0.05,0.0009028740107410727,0.00026091285923948205,1.0,0.1,0.05,0.03
bslow,broad,G650_T150_S0050,20,0.1,0.05,0.000679420887646387,0.00022611393700459092,1.0,0.1,0.05,0.05
bslow,broad,G650_T150_S0100,20,0.1,0.05,0.00041386590665437595,0.00015779985896768897,1.0,0.1,0.05,0.1
bslow,broad,G650_T150_S1000,20,0.1,0.05,0.0001254585308718692,8.797776653340363e-05,1.0,0.1,0.05,1.0
bslow,reference,G200_T400_S0010,20,0.1,0.05,0.0001486806906669802,0.00013569416222291021,1.0,0.1,0.05,0.01
bslow,reference,G200_T400_S0030,20,0.1,0.05,9.514001758770263e-05,7.959639623995041e-05,1.0,0.1,0.05,0.03
bslow,reference,G200_T400_S0050,20,0.1,0.05,0.00013252237327432415,5.899883019941937e-05,1.0,0.1,0.05,0.05
bslow,reference,G200_T400_S0100,20,0.1,0.05,6.350630354434728e-05,6.277800887513063e-05,1.0,0.1,0.05,0.1
bslow,reference,G200_T400_S1000,20,0.1,0.05,0.0002083056900492597,0.00018063877164569144,1.0,0.1,0.05,1.0
