prior,b_timescale_scale,n_parameter_by_forcing_contexts,base_grid_context_braess_fraction_same_300,slowed_grid_context_braess_fraction_same_300,delta_grid_context_braess_fraction,newly_braess_grid_context_fraction,lost_braess_grid_context_fraction,fraction_grid_contexts_r_increased,median_delta_r,q90_delta_r,base_grid_context_experimental_min_fraction_same_300,slowed_grid_context_experimental_min_fraction_same_300
broad,1.0,24000,0.1047083333333333,0.1047083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broad,0.1,24000,0.1047083333333333,0.5585416666666667,0.4538333333333333,0.4664166666666666,0.0125833333333333,0.9605,0.2490452640926413,0.9047970168709224,0.0,0.098
broad,0.075,24000,0.1047083333333333,0.6395,0.5347916666666667,0.5440833333333334,0.0092916666666666,0.9685,0.3045808401104396,1.150007898713341,0.0,0.1280833333333333
broad,0.05,24000,0.1047083333333333,0.7379166666666667,0.6332083333333334,0.6383333333333333,0.005125,0.9789166666666668,0.3937186940843339,1.4884088565795397,0.0,0.1791666666666666
broad,0.03,24000,0.1047083333333333,0.8517083333333333,0.747,0.750875,0.003875,0.9869583333333334,0.511524314135961,1.9524886378210224,0.0,0.2435833333333333
broad,0.02,24000,0.1047083333333333,0.9204583333333334,0.8157500000000001,0.8174166666666667,0.0016666666666666,0.9945416666666668,0.6003584369222053,2.4033322620223223,0.0,0.286125
broad,0.01,24000,0.1047083333333333,0.9865833333333334,0.8818750000000001,0.881875,0.0,0.9987916666666666,0.6991475069195299,3.172946992193252,0.0,0.3281666666666666
reference,1.0,24000,0.40775,0.40775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference,0.1,24000,0.40775,0.0117916666666666,-0.3959583333333333,0.0031666666666666,0.399125,0.2362916666666666,-0.0785090101504276,0.0695025524563928,0.0,0.0
reference,0.075,24000,0.40775,0.0319166666666666,-0.3758333333333333,0.0138333333333333,0.3896666666666666,0.2979583333333333,-0.0619154260139901,0.1112561067906756,0.0,0.0
reference,0.05,24000,0.40775,0.1300416666666666,-0.2777083333333333,0.0772083333333333,0.3549166666666666,0.41975,-0.0248677709594259,0.194433957764837,0.0,0.0
reference,0.03,24000,0.40775,0.3833333333333333,-0.0244166666666666,0.2504583333333333,0.274875,0.603375,0.037954352735658,0.3381576126090616,0.0,0.0
reference,0.02,24000,0.40775,0.6170833333333333,0.2093333333333333,0.4095833333333333,0.20025,0.7359583333333334,0.1034244432343074,0.4688511357692689,0.0,0.0011666666666666
reference,0.01,24000,0.40775,0.886625,0.478875,0.5703333333333334,0.0914583333333333,0.8882083333333334,0.2114638596256753,0.6908214238276833,0.0,0.0266666666666666
