sample_id,calibration_score_corrected,r_max_confirmed_or_screen,G_peak_at_max,tau_G_ms_at_max
10052,0.004507205967852832,10.528605461120604,0.3,30.0
27084,0.04764002609261787,3.969853639602661,0.4,20.0
3687,0.07703585275787604,3.490917205810547,0.8,40.0
6863,0.019860764460952654,2.8931779861450195,0.95,15.0
49029,0.07468998485331162,2.8466811180114746,0.3,40.0
39172,0.07514993994786164,2.7656824588775635,0.95,40.0
43651,0.021122048238902093,2.664806604385376,0.65,20.0
47327,0.07235878628318139,2.6544015407562256,0.65,40.0
1900,0.002429048219033923,2.464842796325684,0.15,40.0
46829,0.04152963375922314,2.414612054824829,0.5,40.0
32755,0.05410462932969838,2.38668155670166,0.8,30.0
28634,0.05739504309069404,2.278776168823242,0.8,40.0
38506,0.024471038463626228,2.229530096054077,0.95,40.0
15395,0.05239610642665694,2.1784861087799072,0.8,30.0
17407,0.06205818209406154,2.103255033493042,0.95,40.0
27498,0.07950158121709591,1.996782302856445,0.65,40.0
34287,0.0744393683527011,1.8889448642730715,0.25,40.0
37318,0.07197988513708883,1.8745825290679927,0.95,10.0
30902,0.015876503142275008,1.8670490980148315,0.5,30.0
7273,0.04619433091833515,1.856209635734558,0.25,30.0
46580,0.033793169827490074,1.8404911756515503,0.4,40.0
26689,0.04592730853527421,1.83599865436554,0.5,40.0
27495,0.034956387696231044,1.8142659664154053,0.8,40.0
36402,0.05710481342400767,1.7923240661621094,0.95,20.0
232,0.019010371372434064,1.7813713550567627,0.5,20.0
6113,0.008871138773278426,1.726892113685608,0.95,40.0
12080,0.06479615110130894,1.7064590454101562,0.4,40.0
29959,0.02535382885159267,1.6841591635005704,0.65,7.5
13577,0.048695336397274004,1.6772632044702254,0.95,30.0
13715,0.02946814062498848,1.6767324752258614,0.65,30.0
44207,0.06239288557694403,1.6664233634509908,0.5,30.0
29419,0.08048808096891537,1.6647023735214723,0.95,30.0
1091,0.01766890370673097,1.6621415764615148,0.3,30.0
41698,0.006488309793020311,1.662080363782283,0.25,40.0
16950,0.004738241130791972,1.661203926178435,0.5,40.0
8859,0.05308832415692821,1.6604826596129014,0.3,40.0
28451,0.0769192993033557,1.659807605751272,0.65,30.0
31498,0.03125594090175122,1.6578166635234013,0.8,40.0
27872,0.014424440322281346,1.65727933977415,0.25,40.0
18319,0.04119582004969196,1.6383362315165406,0.65,30.0
24097,0.06313612905324785,1.6138056814579675,0.95,15.0
41170,0.07372798766226955,1.6027513475199229,0.8,30.0
24533,0.05707371292280577,1.599743962430494,0.95,40.0
45402,0.037029912213573206,1.5902650537640184,0.3,40.0
34139,0.03852416168876466,1.5888294835947685,0.25,40.0
41307,0.004421698739014386,1.5846877098083496,0.95,20.0
18876,0.0032470754113231677,1.5727132558822632,0.25,40.0
41169,0.0010915673922839808,1.5549917221069336,0.4,40.0
14907,0.051865613835841984,1.5418972969055176,0.95,10.0
39459,0.061442517149386706,1.530923843383789,0.15,30.0
34928,0.07549373044080664,1.5283881425857544,0.65,40.0
17437,0.06620191001614269,1.5261988639831543,0.1,40.0
7635,0.03723303108005063,1.521980881690979,0.95,15.0
36811,0.00012280102334777328,1.5210024118423462,0.8,40.0
25504,0.059018673887918295,1.491235613822937,0.95,10.0
40602,0.016359833557370786,1.4777153730392456,0.95,30.0
16393,0.0029765366403025234,1.4768794775009155,0.15,40.0
11449,0.0479553751337585,1.4692082405090332,0.65,20.0
15706,0.06280964567492697,1.4634774923324585,0.8,40.0
17428,0.0693497043338226,1.4566799402236938,0.4,30.0
39905,0.04611646966049201,1.4552204608917236,0.8,40.0
24203,0.05551379397015458,1.4548096656799316,0.3,40.0
17166,0.05241078943808905,1.4536268711090088,0.95,30.0
30032,0.010981056447768808,1.452576756477356,0.8,7.5
39974,0.06688868341116198,1.4468110799789429,0.8,30.0
9782,0.005156253506426274,1.4363322257995603,0.5,40.0
47022,0.04073750251316096,1.4309005737304688,0.5,40.0
3869,0.061290795803957965,1.421276569366455,0.65,40.0
19163,0.06941886050928214,1.4207013845443726,0.65,40.0
4582,0.03295918937496868,1.414758801460266,0.95,15.0
39802,0.01342568339622792,1.4144240617752075,0.95,15.0
24903,0.005752531740772221,1.4032809734344482,0.5,40.0
20466,0.0007985568320484401,1.4009897708892822,0.5,40.0
40945,0.07596721823361448,1.394614577293396,0.5,5.0
49914,0.008431669319915402,1.388343095779419,0.65,40.0
12831,0.06764344921378049,1.3874173164367676,0.4,40.0
17668,0.055783983126854765,1.3831840753555298,0.8,30.0
45852,0.05676744559246262,1.3763679265975952,0.95,7.5
23630,0.02933088622170244,1.375411868095398,0.8,5.0
17527,0.03885804913854066,1.3752508163452148,0.8,3.0
32933,0.04882529163376145,1.3650096654891968,0.15,20.0
1131,0.03739747253060441,1.3605693578720093,0.25,30.0
809,0.003410547439701934,1.3593482971191406,0.3,40.0
9254,0.005391786029246641,1.3569055795669556,0.95,40.0
13562,0.036910657653643236,1.3497304916381836,0.4,40.0
9856,0.06241305846170112,1.348272442817688,0.95,40.0
45973,0.04096637514323065,1.3429174423217771,0.4,30.0
5227,0.06973918474528386,1.340743899345398,0.8,30.0
39891,0.03595440279535399,1.338889718055725,0.3,30.0
8379,0.021975731690655025,1.3346909284591677,0.95,20.0
15926,0.06837578454874349,1.329337239265442,0.4,40.0
26360,0.021994795476742657,1.3245041370391846,0.95,30.0
30621,0.008665188380649549,1.322189450263977,0.15,20.0
27014,0.02296262632448513,1.3202896118164062,0.65,40.0
35517,0.002326250002277637,1.315004825592041,0.65,40.0
8655,0.0004931306583923412,1.314342737197876,0.65,40.0
26946,0.02023238263372782,1.3123221397399902,0.65,40.0
9648,0.04138565730442071,1.311128854751587,0.8,40.0
22878,0.04753500825431548,1.311107158660889,0.95,20.0
19887,0.003833901485600945,1.309490442276001,0.1,30.0
