sample_id,r_max_confirmed_or_screen,G_peak_at_max,tau_G_ms_at_max,G_peak,tau_G_ms,r_plateau_dt0p1,r_abs_difference,r_rel_difference,max_node_same,replay_pass
10052,10.528605461120604,0.3,30.0,0.3,30.0,10.517832061780531,0.010773399340072487,0.0010232503611096306,True,True
27084,3.969853639602661,0.4,20.0,0.4,20.0,3.9737245584356913,0.003870918833030146,0.0009750784750385867,True,True
3687,3.490917205810547,0.8,40.0,0.8,40.0,3.491982590817002,0.001065385006455255,0.00030518770387391245,True,True
6863,2.8931779861450195,0.95,15.0,0.95,15.0,2.895339096031916,0.0021611098868965506,0.0007469674860121881,True,True
49029,2.8466811180114746,0.3,40.0,0.3,40.0,2.8479515687256822,0.001270450714207616,0.0004462918962609619,True,True
39172,2.7656824588775635,0.95,40.0,0.95,40.0,2.765572315613894,0.00011014326366964866,3.982498544476783e-05,True,True
43651,2.664806604385376,0.65,20.0,0.65,20.0,2.666533230350322,0.0017266259649462157,0.0006479366878274654,True,True
47327,2.6544015407562256,0.65,40.0,0.65,40.0,2.6550689889828925,0.0006674482266668669,0.0002514496079130192,True,True
1900,2.464842796325684,0.15,40.0,0.15,40.0,2.464523706624579,0.0003190897011049465,0.00012945641059973896,True,True
46829,2.414612054824829,0.5,40.0,0.5,40.0,2.413212840039661,0.0013992147851680237,0.0005794780914690378,True,True
32755,2.38668155670166,0.8,30.0,0.8,30.0,2.3873387974738924,0.0006572407722322815,0.00027537849378639914,True,True
28634,2.278776168823242,0.8,40.0,0.8,40.0,2.278926091604349,0.00014992278110659285,6.579092021311283e-05,True,True
38506,2.229530096054077,0.95,40.0,0.95,40.0,2.23010381530598,0.000573719251902638,0.00025732743097661346,True,True
15395,2.1784861087799072,0.8,30.0,0.8,30.0,2.178998082490968,0.0005119737110605982,0.00023501353026636305,True,True
17407,2.103255033493042,0.95,40.0,0.95,40.0,2.1025794152442097,0.0006756182488323326,0.00032122507165014596,True,True
27498,1.996782302856445,0.65,40.0,0.65,40.0,1.9962018609978185,0.0005804418586266014,0.00029068860325748346,True,True
34287,1.8889448642730715,0.25,40.0,0.25,40.0,1.888081575983311,0.0008632882897605665,0.00045702143354659977,True,True
37318,1.8745825290679927,0.95,10.0,0.95,10.0,1.8745102764432773,7.225262471544092e-05,3.854331489548426e-05,True,True
30902,1.8670490980148315,0.5,30.0,0.5,30.0,1.867867487038444,0.0008183890236124203,0.00043833288823662156,True,True
7273,1.856209635734558,0.25,30.0,0.25,30.0,1.8569064443938947,0.000696808659336634,0.00037539329929234304,True,True
46580,1.8404911756515503,0.4,40.0,0.4,40.0,1.841323532291704,0.0008323566401537974,0.0004522470149084718,True,True
26689,1.83599865436554,0.5,40.0,0.5,40.0,1.8359751466716543,2.350769388570484e-05,1.2803764223796948e-05,True,True
27495,1.8142659664154053,0.8,40.0,0.8,40.0,1.815343730425055,0.001077764009649762,0.0005940496209490107,True,True
36402,1.7923240661621094,0.95,20.0,0.95,20.0,1.7930249231891051,0.0007008570269957382,0.0003910325371552245,True,True
232,1.7813713550567627,0.5,20.0,0.5,20.0,1.7819790778511224,0.0006077227943597219,0.0003411544665488107,True,True
6113,1.726892113685608,0.95,40.0,0.95,40.0,1.726712140069076,0.00017997361653199206,0.00010421821670601332,True,True
12080,1.7064590454101562,0.4,40.0,0.4,40.0,1.7071311875267168,0.0006721421165605257,0.0003938811882818863,True,True
29959,1.6841591635005704,0.65,7.5,0.65,7.5,1.684352230508005,0.0001930670074345997,0.00011463703171219561,True,True
13577,1.6772632044702254,0.95,30.0,0.95,30.0,1.677239422283357,2.3782186868270827e-05,1.4179162104603962e-05,True,True
13715,1.6767324752258614,0.65,30.0,0.65,30.0,1.676492675166605,0.00023980005925650083,0.0001430162907915283,True,True
44207,1.6664233634509908,0.5,30.0,0.5,30.0,1.6664373220756628,1.3958624671905895e-05,8.376397605827503e-06,True,True
29419,1.6647023735214723,0.95,30.0,0.95,30.0,1.6646652498279455,3.7123693526819324e-05,2.2300498946420516e-05,True,True
1091,1.6621415764615148,0.3,30.0,0.3,30.0,1.6624320637492764,0.00029048728776159827,0.00017476687417927915,True,True
41698,1.662080363782283,0.25,40.0,0.25,40.0,1.6621257432710064,4.5379488723407135e-05,2.730282464810554e-05,True,True
16950,1.661203926178435,0.5,40.0,0.5,40.0,1.6611942047859538,9.721392481232272e-06,5.852016316621724e-06,True,True
8859,1.6604826596129014,0.3,40.0,0.3,40.0,1.6603976490025978,8.501061030363743e-05,5.1196325244044075e-05,True,True
28451,1.659807605751272,0.65,30.0,0.65,30.0,1.6597049559479624,0.00010264980330965123,6.184439868450251e-05,True,True
31498,1.6578166635234013,0.8,40.0,0.8,40.0,1.6580846982632873,0.0002680347398860139,0.00016167936164687393,True,True
27872,1.65727933977415,0.25,40.0,0.25,40.0,1.6578002795732547,0.0005209397991046139,0.0003143343349562339,True,True
18319,1.6383362315165406,0.65,30.0,0.65,20.0,1.6380921074935344,0.00024412402300622027,0.00014900727842675167,False,True
