sample_id,r_plateau_dt0p05,control_plateau_PO_dt0p05,blocked_plateau_PO_dt0p05,calibration_score_corrected,G_peak,tau_G_ms,control_plateau_percentile_within_40,response_rank_within_40
10052,10.514826956479919,6.62166362186692e-05,0.0006962564714794874,0.0045072059678528,0.3,30.0,0.15,1
27084,3.9737963111407653,0.0011742717165773337,0.004666316615611943,0.0476400260926178,0.4,20.0,0.525,2
3687,3.492299129607019,5.826777693736179e-05,0.0002034885066824845,0.077035852757876,0.8,40.0,0.125,3
6863,2.8951317312129796,0.00010564466500467332,0.00030585522188839514,0.0198607644609526,0.95,15.0,0.2,4
49029,2.8480771343203637,0.001544113556054766,0.004397754511793684,0.0746899848533116,0.3,40.0,0.55,5
39172,2.7657166846559402,1.2739237864073924e-06,3.5233122710469954e-06,0.0751499399478616,0.95,40.0,0.025,6
43651,2.6664519855969604,0.0016159084557487765,0.004308742310374243,0.021122048238902,0.65,20.0,0.575,7
47327,2.655345055276768,0.00041742075724949396,0.001108396143732328,0.0723587862831813,0.65,40.0,0.35,8
1900,2.4650289779771923,4.199358080135685e-06,1.0351539356437132e-05,0.0024290482190339,0.15,40.0,0.05,9
46829,2.4134769437743775,4.5992668591912285e-05,0.00011100224522923627,0.0415296337592231,0.5,40.0,0.1,10
32755,2.387251256763242,0.0002759563685883759,0.0006587771877244208,0.0541046293296983,0.8,30.0,0.3,11
28634,2.278966427754494,0.00034799954779326364,0.0007930792862945933,0.057395043090694,0.8,40.0,0.325,12
38506,2.2302032886196166,0.0022762170252860893,0.005076426695404998,0.0244710384636262,0.95,40.0,0.675,13
15395,2.178889643171823,3.8096540696833195e-05,8.300815796500372e-05,0.0523961064266569,0.8,30.0,0.075,14
17407,2.102676523823359,0.002265976211386328,0.00476461498322423,0.0620581820940615,0.95,40.0,0.65,15
27498,1.9965133036754803,0.00015815939207449828,0.00031576733037796213,0.0795015812170959,0.65,40.0,0.25,16
34287,1.887881539728282,0.0007170229075160071,0.001353654310661769,0.0744393683527011,0.25,40.0,0.475,17
37318,1.8744697451182757,0.11652618624332621,0.2184248106271324,0.0719798851370888,0.95,10.0,1.0,18
30902,1.8677175040524518,0.0006468573465658585,0.0012081467888059771,0.015876503142275,0.5,30.0,0.425,19
7273,1.8568970295184355,0.00485206727847152,0.009009789316417365,0.0461943309183351,0.25,30.0,0.825,20
46580,1.841547192843384,0.014553628780426207,0.026801194226278562,0.03379316982749,0.4,40.0,0.925,21
26689,1.8361288844266248,0.00026709717022946973,0.0004904248292069446,0.0459273085352742,0.5,40.0,0.275,22
27495,1.8154123012038674,0.017170248175802788,0.031171079753075648,0.034956387696231,0.8,40.0,0.975,23
36402,1.793006650620381,7.306256265787057e-05,0.00013100166075693024,0.0571048134240076,0.95,20.0,0.175,24
232,1.7818901927484014,0.00012861730513213826,0.0002291819146326858,0.019010371372434,0.5,20.0,0.225,25
6113,1.7267320558449233,0.0023595227482301312,0.004074263565864278,0.0088711387732784,0.95,40.0,0.7,26
12080,1.7070993663510574,0.008182822861151415,0.013968891721234528,0.0647961511013089,0.4,40.0,0.875,27
29959,1.6844056088790298,0.0016517192385622906,0.0027821651497277225,0.0253538288515926,0.65,7.5,0.6,28
13577,1.677235156294618,0.0005255578836494477,0.0008814841591246501,0.048695336397274,0.95,30.0,0.4,29
13715,1.6764341158343592,0.0007134621382272775,0.0011960722688803373,0.0294681406249884,0.65,30.0,0.45,30
44207,1.6664430262391152,0.003408153572095474,0.005679493752570432,0.062392885576944,0.5,30.0,0.75,31
29419,1.6646579596348035,0.006593548922248069,0.010976003695661728,0.0804880809689153,0.95,30.0,0.85,32
1091,1.6625056038832855,0.002751931795943859,0.00457510203226126,0.0176689037067309,0.3,30.0,0.725,33
41698,1.662139390026964,0.0034633969364714903,0.005756648471407979,0.0064883097930203,0.25,40.0,0.775,34
16950,1.661192774301598,0.00044388164139569375,0.0007373729753316595,0.0047382411307919,0.5,40.0,0.375,35
8859,1.6603776256724836,0.0009223969720481315,0.0015315272943767647,0.0530883241569282,0.3,40.0,0.5,36
28451,1.6596813790801959,0.015783840265999882,0.02619614577985621,0.0769192993033557,0.65,30.0,0.95,37
31498,1.6581542522121206,0.003949360609676373,0.006548649088453931,0.0312559409017512,0.8,40.0,0.8,38
27872,1.6579321053028446,0.00862601968352504,0.01430135497429045,0.0144244403222813,0.25,40.0,0.9,39
18319,1.6380895870690209,0.002134217233602452,0.0034960390269074284,0.0411958200496919,0.65,20.0,0.625,40
