sample_id,optics_label,optics_reachability,optics_core_distance,optics_order_rank
232,-1,inf,2.795345291728276,0
1091,0,2.302273293579012,2.553206714585237,5
1900,-1,2.907439758163152,3.045537676736536,35
3687,0,2.795345291728276,2.307254720826099,1
6113,-1,3.096269660395268,3.420153303176611,38
6863,-1,2.560019566022723,2.723949561603979,22
7273,0,2.041784531030239,2.207882591987182,7
8859,-1,2.550895015184959,2.73232060896798,27
10052,0,2.041784531030239,2.297582706460014,8
12080,-1,2.538493044793037,2.634531523983337,19
13577,-1,2.469641843300378,2.944405956925556,13
13715,0,2.297642881616154,2.732145352631009,3
15395,-1,2.720632899961888,2.814453719454005,30
16950,-1,2.459880664283259,2.98116505523813,25
17407,-1,2.847244389316372,3.063415633286384,33
18319,-1,2.754869605479924,3.014743051198122,31
26689,-1,2.613193579019345,2.625911824541163,17
27084,0,2.041784531030239,2.297582706460014,9
27495,-1,3.014743051198122,3.28727240437153,36
27498,-1,2.642866062849678,2.642866062849678,28
27872,0,2.297642881616154,2.302273293579012,4
28451,-1,2.853921168008956,3.324168331437174,34
28634,-1,2.634531523983337,2.560019566022723,21
29419,-1,3.063415633286384,3.262022281660514,37
29959,-1,2.642866062849678,3.657070774591133,29
30902,0,2.307254720826099,2.297642881616154,2
31498,-1,2.459880664283259,3.298854278002572,26
32755,-1,2.625911824541163,2.538493044793037,18
34287,-1,2.553206714585238,2.553206714585237,14
36402,-1,2.538493044793037,2.814453719454005,20
37318,-1,3.772686145682206,3.865992199615254,39
38506,-1,2.798188464998617,3.14024914070039,32
39172,0,2.3072547208261,2.642866062849678,11
41698,-1,2.553206714585237,2.914877725152553,15
43651,0,2.307254720826099,2.682932088326931,10
44207,-1,2.553206714585237,3.362874989616186,16
46580,-1,2.445676951826657,2.732145352631009,12
46829,-1,2.560019566022723,2.634531523983337,23
47327,-1,2.634531523983337,2.459880664283259,24
49029,0,2.302273293579012,2.041784531030239,6
