config_a,config_b,adjusted_rand_index
ms3_xi0.03,ms3_xi0.05,0.47109015451651587
ms3_xi0.03,ms3_xi0.10,0.0
ms3_xi0.03,ms4_xi0.03,0.6500874781304674
ms3_xi0.03,ms4_xi0.05,0.47109015451651587
ms3_xi0.03,ms4_xi0.10,0.0
ms3_xi0.03,ms5_xi0.03,0.6500874781304674
ms3_xi0.03,ms5_xi0.05,0.0
ms3_xi0.03,ms5_xi0.10,0.0
ms3_xi0.05,ms3_xi0.10,0.0
ms3_xi0.05,ms4_xi0.03,0.8015147558109167
ms3_xi0.05,ms4_xi0.05,1.0
ms3_xi0.05,ms4_xi0.10,0.0
ms3_xi0.05,ms5_xi0.03,0.8015147558109167
ms3_xi0.05,ms5_xi0.05,0.0
ms3_xi0.05,ms5_xi0.10,0.0
ms3_xi0.10,ms4_xi0.03,0.0
ms3_xi0.10,ms4_xi0.05,0.0
ms3_xi0.10,ms4_xi0.10,1.0
ms3_xi0.10,ms5_xi0.03,0.0
ms3_xi0.10,ms5_xi0.05,1.0
ms3_xi0.10,ms5_xi0.10,1.0
ms4_xi0.03,ms4_xi0.05,0.8015147558109167
ms4_xi0.03,ms4_xi0.10,0.0
ms4_xi0.03,ms5_xi0.03,1.0
ms4_xi0.03,ms5_xi0.05,0.0
ms4_xi0.03,ms5_xi0.10,0.0
ms4_xi0.05,ms4_xi0.10,0.0
ms4_xi0.05,ms5_xi0.03,0.8015147558109167
ms4_xi0.05,ms5_xi0.05,0.0
ms4_xi0.05,ms5_xi0.10,0.0
ms4_xi0.10,ms5_xi0.03,0.0
ms4_xi0.10,ms5_xi0.05,1.0
ms4_xi0.10,ms5_xi0.10,1.0
ms5_xi0.03,ms5_xi0.05,0.0
ms5_xi0.03,ms5_xi0.10,0.0
ms5_xi0.05,ms5_xi0.10,1.0
