sample_id_a,sample_id_b,distance
232,30902,2.6101143054425817
1091,26689,2.6131935790193443
1091,27872,2.0150434445658374
1091,34287,2.553206714585237
1900,36402,2.907439758163151
3687,30902,2.243967863118173
3687,39172,2.307254720826099
3687,43651,2.072967296247149
6113,6863,3.0962696603952677
6863,28634,1.2799356887321593
7273,27084,1.9434026426679483
7273,49029,1.0866778539773339
8859,47327,2.550895015184959
10052,49029,2.0200825672909164
12080,28634,2.560019566022723
12080,32755,2.41787983172242
13577,27498,2.6304592131005253
13577,30902,2.4696418433003786
13715,30902,1.9831923592396368
15395,28634,2.7206328999618883
16950,47327,2.3430084241245637
17407,28451,2.5579818610047136
17407,29419,3.0634156332863838
17407,46580,2.8472443893163732
18319,27495,3.0147430511981215
18319,43651,2.7548696054799247
26689,32755,2.037321068640246
27084,46580,2.445676951826658
27498,29959,1.6291561239890986
27498,37318,3.7726861456822065
27872,30902,2.297642881616154
27872,49029,2.302273293579012
28634,46829,2.42429101268686
31498,47327,2.459880664283259
32755,36402,2.538493044793037
34287,44207,2.4684737550882168
38506,46829,2.798188464998617
41698,44207,2.4910920935020817
46829,47327,2.2939081357829325
