center_sample_id,roles,optics_label,perturbation_fraction,n,strong_fraction,compatible_fraction,joint_fraction,joint_fraction_within_full_broad_bounds,median_r_plateau,median_control_plateau_PO,median_corrected_score
1900,best_calibrated_strong,-1,0.05,1000,1.0,1.0,1.0,1.0,2.461130061146835,4.211787936695912e-06,0.00320528907679215
1900,best_calibrated_strong,-1,0.1,1000,1.0,1.0,1.0,1.0,2.4579908669697295,4.1846251339536695e-06,0.0057083300708974
37318,experimental_typical_match,-1,0.05,1000,1.0,0.615,0.615,0.615,1.8725440073351685,0.11643790654455735,0.0737973120151375
37318,experimental_typical_match,-1,0.1,1000,1.0,0.535,0.535,0.6233611442193087,1.8709307593073885,0.11662763415887355,0.0754168375319488
27084,extreme_experimental_match,0,0.05,1000,1.0,0.988,0.988,0.988,3.956148408679206,0.0011723447588121,0.0469103103512591
27084,extreme_experimental_match,0,0.1,1000,1.0,0.837,0.837,0.837,3.8989631291309763,0.0012176118218835499,0.046575556354167
10052,largest_confirmed_response,0,0.05,1000,1.0,1.0,1.0,1.0,10.47780316211286,6.656618649427675e-05,0.004328457042850399
10052,largest_confirmed_response,0,0.1,1000,1.0,1.0,1.0,1.0,10.317914127949404,6.811966529000375e-05,0.0063743783025743996
18319,minimum_experimental_match,-1,0.05,1000,0.527,0.996,0.523,0.523,1.637923213601756,0.0021309186202117,0.0418509576035382
18319,minimum_experimental_match,-1,0.1,1000,0.478,0.902,0.402,0.402,1.6331349135409075,0.0021390766173287,0.04078133205666675
49029,optics_cluster_0_medoid,0,0.05,1000,1.0,0.698,0.698,0.5831903945111492,2.8428420264491536,0.00154044272816555,0.0750307569252326
49029,optics_cluster_0_medoid,0,0.1,1000,1.0,0.61,0.61,0.46950092421441775,2.813270301105047,0.0015578331163369,0.07467391754057805
