experimental_index,experimental_ratio,scope,sample_id,model_ratio,relative_error_fraction,absolute_log_ratio_error,calibration_score_corrected,control_plateau_PO_dt0p05,final_regime,G_peak,tau_G_ms
1,1.6359295439505144,all_40,18319,1.6380895870690209,0.001320376617987007,0.0013195056873336957,0.0411958200496919,0.0021342172336024,dominant_native_connected,0.65,20.0
1,1.6359295439505144,dominant_strict_36,18319,1.6380895870690209,0.001320376617987007,0.0013195056873336957,0.0411958200496919,0.0021342172336024,dominant_native_connected,0.65,20.0
1,1.6359295439505144,dominant_native_35,18319,1.6380895870690209,0.001320376617987007,0.0013195056873336957,0.0411958200496919,0.0021342172336024,dominant_native_connected,0.65,20.0
1,1.6359295439505144,secondary_native_3,29959,1.6844056088790298,0.029632122671648276,0.029201575989133248,0.0253538288515926,0.0016517192385622,secondary_native_connected,0.65,7.5
1,1.6359295439505144,historical_witness_37318,37318,1.874469745118276,0.14581324852886035,0.13611464561432207,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
2,1.694672,all_40,29959,1.6844056088790298,0.006058040211303517,0.006076464584989119,0.0253538288515926,0.0016517192385622,secondary_native_connected,0.65,7.5
2,1.694672,dominant_strict_36,12080,1.7070993663510574,0.007333198607788027,0.007306441437678723,0.0647961511013089,0.0081828228611514,dominant_native_connected,0.4,40.0
2,1.694672,dominant_native_35,12080,1.7070993663510574,0.007333198607788027,0.007306441437678723,0.0647961511013089,0.0081828228611514,dominant_native_connected,0.4,40.0
2,1.694672,secondary_native_3,29959,1.6844056088790298,0.006058040211303517,0.006076464584989119,0.0253538288515926,0.0016517192385622,secondary_native_connected,0.65,7.5
2,1.694672,historical_witness_37318,37318,1.874469745118276,0.1060958965028489,0.10083660504019962,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
3,1.876748,all_40,37318,1.874469745118276,0.0012139375567333799,0.0012146749757767292,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
3,1.876748,dominant_strict_36,30902,1.867717504052452,0.004811778644521314,0.004823392521965494,0.015876503142275,0.0006468573465658,dominant_native_connected,0.5,30.0
3,1.876748,dominant_native_35,30902,1.867717504052452,0.004811778644521314,0.004823392521965494,0.015876503142275,0.0006468573465658,dominant_native_connected,0.5,30.0
3,1.876748,secondary_native_3,27498,1.9965133036754803,0.06381533571661202,0.061861819199433614,0.0795015812170959,0.0001581593920744,secondary_native_connected,0.65,40.0
3,1.876748,historical_witness_37318,37318,1.874469745118276,0.0012139375567333799,0.0012146749757767292,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
4,1.891305,all_40,34287,1.887881539728282,0.0018101048068492887,0.0018117450261666106,0.0744393683527011,0.000717022907516,dominant_native_connected,0.25,40.0
4,1.891305,dominant_strict_36,34287,1.887881539728282,0.0018101048068492887,0.0018117450261666106,0.0744393683527011,0.000717022907516,dominant_native_connected,0.25,40.0
4,1.891305,dominant_native_35,34287,1.887881539728282,0.0018101048068492887,0.0018117450261666106,0.0744393683527011,0.000717022907516,dominant_native_connected,0.25,40.0
4,1.891305,secondary_native_3,27498,1.9965133036754803,0.05562735977300348,0.054135244004785664,0.0795015812170959,0.0001581593920744,secondary_native_connected,0.65,40.0
4,1.891305,historical_witness_37318,37318,1.874469745118276,0.008901396063418665,0.00894125017042465,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
5,4.072559,all_40,27084,3.973796311140765,0.0242507693220001,0.02454966136343513,0.0476400260926178,0.0011742717165773,dominant_native_connected,0.4,20.0
5,4.072559,dominant_strict_36,27084,3.973796311140765,0.0242507693220001,0.02454966136343513,0.0476400260926178,0.0011742717165773,dominant_native_connected,0.4,20.0
5,4.072559,dominant_native_35,27084,3.973796311140765,0.0242507693220001,0.02454966136343513,0.0476400260926178,0.0011742717165773,dominant_native_connected,0.4,20.0
5,4.072559,secondary_native_3,27498,1.9965133036754803,0.5097644248553599,0.7128692378069128,0.0795015812170959,0.0001581593920744,secondary_native_connected,0.65,40.0
5,4.072559,historical_witness_37318,37318,1.874469745118276,0.5397317153371441,0.7759457319821232,0.0719798851370888,0.1165261862433262,historical_witness_singleton,0.95,10.0
