method,series,E_over_H,L_over_H,Q_over_H_ms,expected_E_over_H,expected_L_over_H,expected_Q_over_H_ms,log_error_norm
rect_halfopen,12.10.2022,1.1672601281290742,0.6153636004487286,254.644687822335,1.167,0.615,254.44,0.0010225711398663304
rect_halfopen,17.10.2022 cell1,2.109868671396962,0.39635480483439867,7.68567883349727,2.11,0.396,7.539,0.019290058995378858
rect_halfopen,02.12.2021 cell1,0.9478774393496868,0.7948444769179702,295.3259894363398,0.948,0.795,295.305,0.00024504117857623967
rect_halfopen,17.10.2022 cell2,1.099894310668216,0.6375508346355793,257.2589090307384,1.1,0.638,257.22,0.0007267087115953771
rect_halfopen,02.12.2021 cell2,0.9716768928764706,1.0019263001149377,358.87850360703004,0.972,1.002,358.844,0.00035382347010596866
rect_halfopen,__TOTAL__,,,,,,,0.0193355985053473
trap_halfopen,12.10.2022,1.1672601281290742,0.6153636004487286,254.43942416185993,1.167,0.615,254.44,0.000631676144960417
trap_halfopen,17.10.2022 cell1,2.109868671396962,0.39635480483439867,7.536686940264162,2.11,0.396,7.539,0.0009487274747713741
trap_halfopen,02.12.2021 cell1,0.9478774393496868,0.7948444769179702,295.30547207460717,0.948,0.795,295.305,0.00023451254382941616
trap_halfopen,17.10.2022 cell2,1.099894310668216,0.6375508346355793,257.22004221130874,1.1,0.638,257.22,0.0007107933437534049
trap_halfopen,02.12.2021 cell2,0.9716768928764706,1.0019263001149377,358.84358346933726,0.972,1.002,358.844,0.0003405114628908325
trap_halfopen,__TOTAL__,,,,,,,0.0014054429695279946
trap_closed,12.10.2022,1.1672601281290742,0.6153636004487286,254.48205075738957,1.167,0.615,254.44,0.000652930766943799
trap_closed,17.10.2022 cell1,2.109868671396962,0.39635480483439867,7.4897044108492565,2.11,0.396,7.539,0.0066213549708914465
trap_closed,02.12.2021 cell1,0.9478774393496868,0.7948444769179702,295.34429556598957,0.948,0.795,295.305,0.00026962611613206254
trap_closed,17.10.2022 cell2,1.099894310668216,0.6375508346355793,257.239230178613,1.1,0.638,257.22,0.0007147139494308542
trap_closed,02.12.2021 cell2,0.9716768928764706,1.0019263001149377,358.8894669483908,0.972,1.002,358.844,0.00036331606540166534
trap_closed,__TOTAL__,,,,,,,0.006707024159220029
