scheme_id,split_ms,primary_end_ms,late_end_ms,E_width_ms,H_width_ms,L_width_ms,is_baseline
split180_primary230_late450,180.0,230.0,450.0,40.0,90.0,270.0,False
split180_primary230_late500,180.0,230.0,500.0,40.0,90.0,320.0,False
split180_primary230_late550,180.0,230.0,550.0,40.0,90.0,370.0,False
split180_primary250_late450,180.0,250.0,450.0,40.0,110.0,270.0,False
split180_primary250_late500,180.0,250.0,500.0,40.0,110.0,320.0,False
split180_primary250_late550,180.0,250.0,550.0,40.0,110.0,370.0,False
split180_primary270_late450,180.0,270.0,450.0,40.0,130.0,270.0,False
split180_primary270_late500,180.0,270.0,500.0,40.0,130.0,320.0,False
split180_primary270_late550,180.0,270.0,550.0,40.0,130.0,370.0,False
split200_primary230_late450,200.0,230.0,450.0,60.0,90.0,250.0,False
split200_primary230_late500,200.0,230.0,500.0,60.0,90.0,300.0,False
split200_primary230_late550,200.0,230.0,550.0,60.0,90.0,350.0,False
split200_primary250_late450,200.0,250.0,450.0,60.0,110.0,250.0,False
split200_primary250_late500,200.0,250.0,500.0,60.0,110.0,300.0,True
split200_primary250_late550,200.0,250.0,550.0,60.0,110.0,350.0,False
split200_primary270_late450,200.0,270.0,450.0,60.0,130.0,250.0,False
split200_primary270_late500,200.0,270.0,500.0,60.0,130.0,300.0,False
split200_primary270_late550,200.0,270.0,550.0,60.0,130.0,350.0,False
split220_primary230_late450,220.0,230.0,450.0,80.0,90.0,230.0,False
split220_primary230_late500,220.0,230.0,500.0,80.0,90.0,280.0,False
split220_primary230_late550,220.0,230.0,550.0,80.0,90.0,330.0,False
split220_primary250_late450,220.0,250.0,450.0,80.0,110.0,230.0,False
split220_primary250_late500,220.0,250.0,500.0,80.0,110.0,280.0,False
split220_primary250_late550,220.0,250.0,550.0,80.0,110.0,330.0,False
split220_primary270_late450,220.0,270.0,450.0,80.0,130.0,230.0,False
split220_primary270_late500,220.0,270.0,500.0,80.0,130.0,280.0,False
split220_primary270_late550,220.0,270.0,550.0,80.0,130.0,330.0,False
