scheme_id,prior,split_ms,primary_end_ms,late_end_ms,is_baseline,accepted_n,cutoff_score,final40_retained_n,dominant36_retained_n,native35_retained_n,primary_representative_retained,overlap_with_baseline_n,jaccard_vs_baseline
split180_primary230_late450,broad,180.0,230.0,450.0,False,5000,0.07106680322249001,23.0,22.0,22.0,True,4256.0,0.7409470752089137
split180_primary230_late450,reference,180.0,230.0,450.0,False,5000,0.028972385951441026,,,,,3954.0,0.6539861065167053
split180_primary230_late500,broad,180.0,230.0,500.0,False,5000,0.089336584078361,26.0,25.0,25.0,True,4601.0,0.8521948508983145
split180_primary230_late500,reference,180.0,230.0,500.0,False,5000,0.03558128688373484,,,,,4250.0,0.7391304347826086
split180_primary230_late550,broad,180.0,230.0,550.0,False,5000,0.10877573285487864,25.0,22.0,22.0,True,4680.0,0.8796992481203008
split180_primary230_late550,reference,180.0,230.0,550.0,False,5000,0.042272820307809114,,,,,4339.0,0.7664723547076489
split180_primary250_late450,broad,180.0,250.0,450.0,False,5000,0.07034136119736135,22.0,21.0,21.0,True,4262.0,0.7427675148135239
split180_primary250_late450,reference,180.0,250.0,450.0,False,5000,0.029047085353174275,,,,,3868.0,0.6307893020221788
split180_primary250_late500,broad,180.0,250.0,500.0,False,5000,0.08895264860710089,25.0,23.0,23.0,True,4524.0,0.8261504747991234
split180_primary250_late500,reference,180.0,250.0,500.0,False,5000,0.03624955514645034,,,,,4132.0,0.7041581458759373
split180_primary250_late550,broad,180.0,250.0,550.0,False,5000,0.10727071339043273,24.0,22.0,22.0,True,4537.0,0.8304960644334615
split180_primary250_late550,reference,180.0,250.0,550.0,False,5000,0.04383356571320109,,,,,4267.0,0.7442874585731729
split180_primary270_late450,broad,180.0,270.0,450.0,False,5000,0.06874890947574021,20.0,20.0,20.0,True,4169.0,0.714971702966901
split180_primary270_late450,reference,180.0,270.0,450.0,False,5000,0.02893935439592529,,,,,3706.0,0.5888147442008261
split180_primary270_late500,broad,180.0,270.0,500.0,False,5000,0.0871015059193528,24.0,22.0,22.0,True,4364.0,0.7743080198722498
split180_primary270_late500,reference,180.0,270.0,500.0,False,5000,0.03632870082728009,,,,,3964.0,0.6567263088137839
split180_primary270_late550,broad,180.0,270.0,550.0,False,5000,0.10689786610582537,21.0,19.0,19.0,True,4382.0,0.7799928800284799
split180_primary270_late550,reference,180.0,270.0,550.0,False,5000,0.045329584666156456,,,,,4072.0,0.6869095816464238
split200_primary230_late450,broad,200.0,230.0,450.0,False,5000,0.06516307558798536,35.0,32.0,31.0,True,4356.0,0.771793054571226
split200_primary230_late450,reference,200.0,230.0,450.0,False,5000,0.020104223128435537,,,,,4290.0,0.7513134851138353
split200_primary230_late500,broad,200.0,230.0,500.0,False,5000,0.08105735680904706,38.0,35.0,34.0,True,4703.0,0.8878610534264678
split200_primary230_late500,reference,200.0,230.0,500.0,False,5000,0.025261275551445226,,,,,4637.0,0.8646280067126608
split200_primary230_late550,broad,200.0,230.0,550.0,False,5000,0.09737969123583423,32.0,29.0,29.0,True,4643.0,0.8667164457718872
split200_primary230_late550,reference,200.0,230.0,550.0,False,5000,0.030319222717891878,,,,,4484.0,0.8129079042784626
split200_primary250_late450,broad,200.0,250.0,450.0,False,5000,0.06416698979892255,35.0,32.0,31.0,True,4590.0,0.8484288354898336
split200_primary250_late450,reference,200.0,250.0,450.0,False,5000,0.02121586086314245,,,,,4525.0,0.8264840182648402
split200_primary250_late500,broad,200.0,250.0,500.0,True,5000,0.08064514944705824,40.0,36.0,35.0,True,5000.0,1.0
split200_primary250_late500,reference,200.0,250.0,500.0,True,5000,0.026467773068234682,,,,,5000.0,1.0
split200_primary250_late550,broad,200.0,250.0,550.0,False,5000,0.09767212475706671,30.0,27.0,27.0,True,4619.0,0.858390633711206
split200_primary250_late550,reference,200.0,250.0,550.0,False,5000,0.03223535441305181,,,,,4595.0,0.8501387604070305
split200_primary270_late450,broad,200.0,270.0,450.0,False,5000,0.06346781728006881,31.0,28.0,28.0,True,4602.0,0.8525379770285291
split200_primary270_late450,reference,200.0,270.0,450.0,False,5000,0.022221767203117988,,,,,4481.0,0.8119224497191521
split200_primary270_late500,broad,200.0,270.0,500.0,False,5000,0.0802773289906808,30.0,27.0,27.0,True,4791.0,0.919754271453254
split200_primary270_late500,reference,200.0,270.0,500.0,False,5000,0.028036728366039456,,,,,4698.0,0.8860807242549981
split200_primary270_late550,broad,200.0,270.0,550.0,False,5000,0.09409560923622036,30.0,26.0,26.0,True,4322.0,0.7611835153222966
split200_primary270_late550,reference,200.0,270.0,550.0,False,5000,0.03350528987283876,,,,,4226.0,0.7319016279875303
split220_primary230_late450,broad,220.0,230.0,450.0,False,5000,0.06763093028070505,36.0,33.0,32.0,True,4367.0,0.7752529735487307
split220_primary230_late450,reference,220.0,230.0,450.0,False,5000,0.020082364090700685,,,,,4336.0,0.7655367231638418
split220_primary230_late500,broad,220.0,230.0,500.0,False,5000,0.08256049534484014,36.0,34.0,33.0,True,4543.0,0.832508704416346
split220_primary230_late500,reference,220.0,230.0,500.0,False,5000,0.025098357729777847,,,,,4461.0,0.8053800324968405
split220_primary230_late550,broad,220.0,230.0,550.0,False,5000,0.09650461409263145,32.0,29.0,29.0,True,4413.0,0.7898693395382137
split220_primary230_late550,reference,220.0,230.0,550.0,False,5000,0.030455099937649777,,,,,4350.0,0.7699115044247787
split220_primary250_late450,broad,220.0,250.0,450.0,False,5000,0.060543575790458284,38.0,35.0,34.0,True,4560.0,0.8382352941176471
split220_primary250_late450,reference,220.0,250.0,450.0,False,5000,0.01883065312279608,,,,,4522.0,0.8254837531945965
split220_primary250_late500,broad,220.0,250.0,500.0,False,5000,0.07591219452817698,35.0,32.0,31.0,True,4574.0,0.8429782528566163
split220_primary250_late500,reference,220.0,250.0,500.0,False,5000,0.02359162851177917,,,,,4470.0,0.8083182640144665
split220_primary250_late550,broad,220.0,250.0,550.0,False,5000,0.08733827964273666,31.0,28.0,28.0,True,4231.0,0.7334026694401109
split220_primary250_late550,reference,220.0,250.0,550.0,False,5000,0.028750867598145165,,,,,4242.0,0.736714136853074
split220_primary270_late450,broad,220.0,270.0,450.0,False,5000,0.055525907137542095,40.0,36.0,35.0,True,4506.0,0.8201674554058973
split220_primary270_late450,reference,220.0,270.0,450.0,False,5000,0.01812458013038255,,,,,4280.0,0.7482517482517482
split220_primary270_late500,broad,220.0,270.0,500.0,False,5000,0.07438511392323198,31.0,28.0,28.0,True,4634.0,0.8635855385762207
split220_primary270_late500,reference,220.0,270.0,500.0,False,5000,0.023182056604565647,,,,,4446.0,0.8005041411595246
split220_primary270_late550,broad,220.0,270.0,550.0,False,5000,0.0836766987954316,34.0,31.0,31.0,True,3943.0,0.650982334489021
split220_primary270_late550,reference,220.0,270.0,550.0,False,5000,0.02799112604704824,,,,,3747.0,0.5992323684631377
