scheme_id,sample_id,retained,final_regime
split180_primary230_late450,232,True,dominant_native_connected
split180_primary230_late450,1091,True,dominant_native_connected
split180_primary230_late450,1900,True,dominant_native_connected
split180_primary230_late450,3687,False,dominant_native_connected
split180_primary230_late450,6113,True,secondary_native_connected
split180_primary230_late450,6863,True,dominant_native_connected
split180_primary230_late450,7273,False,dominant_native_connected
split180_primary230_late450,8859,True,dominant_native_connected
split180_primary230_late450,10052,True,dominant_native_connected
split180_primary230_late450,12080,True,dominant_native_connected
split180_primary230_late450,13577,False,dominant_native_connected
split180_primary230_late450,13715,True,dominant_native_connected
split180_primary230_late450,15395,False,dominant_native_connected
split180_primary230_late450,16950,True,dominant_native_connected
split180_primary230_late450,17407,True,dominant_native_connected
split180_primary230_late450,18319,False,dominant_native_connected
split180_primary230_late450,26689,False,dominant_native_connected
split180_primary230_late450,27084,True,dominant_native_connected
split180_primary230_late450,27495,False,dominant_native_connected
split180_primary230_late450,27498,False,secondary_native_connected
split180_primary230_late450,27872,True,dominant_native_connected
split180_primary230_late450,28451,True,dominant_native_connected
split180_primary230_late450,28634,False,dominant_native_connected
split180_primary230_late450,29419,False,dominant_flex_only_accession
split180_primary230_late450,29959,False,secondary_native_connected
split180_primary230_late450,30902,True,dominant_native_connected
split180_primary230_late450,31498,True,dominant_native_connected
split180_primary230_late450,32755,True,dominant_native_connected
split180_primary230_late450,34287,False,dominant_native_connected
split180_primary230_late450,36402,False,dominant_native_connected
split180_primary230_late450,37318,False,historical_witness_singleton
split180_primary230_late450,38506,True,dominant_native_connected
split180_primary230_late450,39172,False,dominant_native_connected
split180_primary230_late450,41698,True,dominant_native_connected
split180_primary230_late450,43651,True,dominant_native_connected
split180_primary230_late450,44207,True,dominant_native_connected
split180_primary230_late450,46580,True,dominant_native_connected
split180_primary230_late450,46829,True,dominant_native_connected
split180_primary230_late450,47327,False,dominant_native_connected
split180_primary230_late450,49029,False,dominant_native_connected
split180_primary230_late500,232,True,dominant_native_connected
split180_primary230_late500,1091,True,dominant_native_connected
split180_primary230_late500,1900,True,dominant_native_connected
split180_primary230_late500,3687,False,dominant_native_connected
split180_primary230_late500,6113,True,secondary_native_connected
split180_primary230_late500,6863,True,dominant_native_connected
split180_primary230_late500,7273,False,dominant_native_connected
split180_primary230_late500,8859,True,dominant_native_connected
split180_primary230_late500,10052,True,dominant_native_connected
split180_primary230_late500,12080,True,dominant_native_connected
split180_primary230_late500,13577,False,dominant_native_connected
split180_primary230_late500,13715,True,dominant_native_connected
split180_primary230_late500,15395,True,dominant_native_connected
split180_primary230_late500,16950,True,dominant_native_connected
split180_primary230_late500,17407,True,dominant_native_connected
split180_primary230_late500,18319,True,dominant_native_connected
split180_primary230_late500,26689,False,dominant_native_connected
split180_primary230_late500,27084,True,dominant_native_connected
split180_primary230_late500,27495,True,dominant_native_connected
split180_primary230_late500,27498,False,secondary_native_connected
split180_primary230_late500,27872,True,dominant_native_connected
split180_primary230_late500,28451,True,dominant_native_connected
split180_primary230_late500,28634,False,dominant_native_connected
split180_primary230_late500,29419,False,dominant_flex_only_accession
split180_primary230_late500,29959,False,secondary_native_connected
split180_primary230_late500,30902,True,dominant_native_connected
split180_primary230_late500,31498,True,dominant_native_connected
split180_primary230_late500,32755,True,dominant_native_connected
split180_primary230_late500,34287,False,dominant_native_connected
split180_primary230_late500,36402,False,dominant_native_connected
split180_primary230_late500,37318,False,historical_witness_singleton
split180_primary230_late500,38506,True,dominant_native_connected
split180_primary230_late500,39172,False,dominant_native_connected
split180_primary230_late500,41698,True,dominant_native_connected
split180_primary230_late500,43651,True,dominant_native_connected
split180_primary230_late500,44207,True,dominant_native_connected
split180_primary230_late500,46580,True,dominant_native_connected
split180_primary230_late500,46829,True,dominant_native_connected
split180_primary230_late500,47327,False,dominant_native_connected
split180_primary230_late500,49029,False,dominant_native_connected
split180_primary230_late550,232,True,dominant_native_connected
split180_primary230_late550,1091,True,dominant_native_connected
split180_primary230_late550,1900,True,dominant_native_connected
split180_primary230_late550,3687,False,dominant_native_connected
split180_primary230_late550,6113,True,secondary_native_connected
split180_primary230_late550,6863,True,dominant_native_connected
